league,season,game,date,status,leg,home_team,away_team,home_id,away_id,home_code,away_code,prob_home,prob_away,prob_tie,round,matchday,score_home,score_away,adj_score_home,adj_score_away,chances_home,chances_away,moves_home,moves_away,aggregate_winner,shootout_winner
ENG-Premier League,2021,2020-09-12 Crystal Palace-Southampton,2020-09-12 14:00:00+00:00,post,,Crystal Palace,Southampton,384,376,CRY,SOU,0.36979,0.35311,0.2771,,,1,0,1.05,0,1.507,1.16,0.943,1.652,,
ENG-Premier League,2021,2020-09-12 Fulham-Arsenal,2020-09-12 11:30:00+00:00,post,,Fulham,Arsenal,370,359,FUL,ARS,0.28167,0.46081,0.25752,,,0,3,0,3.15,0.141,2.989,0.27,1.528,,
ENG-Premier League,2021,2020-09-12 Liverpool-Leeds United,2020-09-12 16:30:00+00:00,post,,Liverpool,Leeds United,364,357,LIV,LEE,0.83582,0.04384,0.12034,,,4,3,4.2,3.15,3.328,0.368,3.006,0.747,,
ENG-Premier League,2021,2020-09-12 West Ham United-Newcastle,2020-09-12 19:00:00+00:00,post,,West Ham United,Newcastle,371,361,WHU,NEW,0.48865,0.25556,0.25579,,,0,2,0,1.666,0.973,1.475,1.103,1.86,,
ENG-Premier League,2021,2020-09-13 Tottenham Hotspur-Everton,2020-09-13 15:30:00+00:00,post,,Tottenham Hotspur,Everton,367,368,TOT,EVE,0.50235,0.24434,0.25331,,,0,1,0,1.05,1.029,1.109,1.316,1.11,,
ENG-Premier League,2021,2020-09-13 West Bromwich Albion-Leicester City,2020-09-13 13:00:00+00:00,post,,West Bromwich Albion,Leicester City,383,375,WBA,LEI,0.23915,0.50128,0.25957,,,0,3,0,2.717,0.414,2.852,0.46,0.66,,
ENG-Premier League,2021,2020-09-14 Brighton and Hove Albion-Chelsea,2020-09-14 19:15:00+00:00,post,,Brighton and Hove Albion,Chelsea,331,363,BHA,CHE,0.19444,0.58064,0.22493,,,1,3,1.05,3.15,1.849,1.237,0.978,0.57,,
ENG-Premier League,2021,2020-09-14 Sheffield United-Wolverhampton,2020-09-14 17:00:00+00:00,post,,Sheffield United,Wolverhampton,398,380,SHEF,WOL,0.31555,0.38203,0.30242,,,0,2,0,2.1,0.941,1.803,1.753,0.946,,
ENG-Premier League,2021,2020-09-19 Arsenal-West Ham United,2020-09-19 19:00:00+00:00,post,,Arsenal,West Ham United,359,371,ARS,WHU,0.57075,0.20099,0.22826,,,2,1,2.1,1.05,1.327,2.151,2.372,1.014,,
ENG-Premier League,2021,2020-09-19 Everton-West Bromwich Albion,2020-09-19 11:30:00+00:00,post,,Everton,West Bromwich Albion,368,383,EVE,WBA,0.56625,0.18174,0.25201,,,5,2,4.62,2.1,3.484,0.349,2.506,0.815,,
ENG-Premier League,2021,2020-09-19 Leeds United-Fulham,2020-09-19 14:00:00+00:00,post,,Leeds United,Fulham,357,370,LEE,FUL,0.45094,0.27829,0.27077,,,4,3,4.2,3.15,1.32,1.594,0.869,1.082,,
ENG-Premier League,2021,2020-09-19 Manchester United-Crystal Palace,2020-09-19 16:30:00+00:00,post,,Manchester United,Crystal Palace,360,384,MAN,CRY,0.70967,0.09626,0.19408,,,1,3,1.05,2.674,1.286,1.923,2.208,0.584,,
ENG-Premier League,2021,2020-09-20 Chelsea-Liverpool,2020-09-20 15:30:00+00:00,post,,Chelsea,Liverpool,363,364,CHE,LIV,0.33589,0.4314,0.23271,,,0,2,0,1.68,0.941,1.744,0.436,2.608,,
ENG-Premier League,2021,2020-09-20 Leicester City-Burnley,2020-09-20 18:00:00+00:00,post,,Leicester City,Burnley,375,379,LEI,BRN,0.57836,0.17612,0.24552,,,4,2,3.987,2.1,1.025,1.708,2.231,1.698,,
ENG-Premier League,2021,2020-09-20 Newcastle-Brighton and Hove Albion,2020-09-20 13:00:00+00:00,post,,Newcastle,Brighton and Hove Albion,361,331,NEW,BHA,0.39499,0.32354,0.28146,,,0,3,0,2.811,0.56,1.879,0.621,0.447,,
