,,,Short,Medium,Long
,,,Att,Att,Att
league,season,team,ShortAT_Pass,MediumtAT_Pass,LongAT_Pass
ENG-Premier League,2122,Arsenal,8210,8140,2584
ENG-Premier League,2122,Aston Villa,6803,6136,2571
ENG-Premier League,2122,Brentford,6312,6120,2852
ENG-Premier League,2122,Brighton,8172,8207,2954
ENG-Premier League,2122,Burnley,5327,4472,3216
ENG-Premier League,2122,Chelsea,11617,9322,2514
ENG-Premier League,2122,Crystal Palace,7495,7610,2871
ENG-Premier League,2122,Everton,5859,4901,2704
ENG-Premier League,2122,Leeds United,7285,7050,2754
ENG-Premier League,2122,Leicester City,8789,7579,2581
ENG-Premier League,2122,Liverpool,10506,10569,3211
ENG-Premier League,2122,Manchester City,12605,11162,2895
ENG-Premier League,2122,Manchester Utd,9234,7436,2626
ENG-Premier League,2122,Newcastle Utd,5432,4880,2746
ENG-Premier League,2122,Norwich City,6484,5949,2757
ENG-Premier League,2122,Southampton,7173,6093,2591
ENG-Premier League,2122,Tottenham,9143,7812,2371
ENG-Premier League,2122,Watford,5496,5325,2903
ENG-Premier League,2122,West Ham,7492,6856,2906
ENG-Premier League,2122,Wolves,7415,7664,3005
ESP-La Liga,2122,Alavés,5174,4954,3158
ESP-La Liga,2122,Athletic Club,6826,6434,2830
ESP-La Liga,2122,Atlético Madrid,8289,6266,3060
ESP-La Liga,2122,Barcelona,11109,9401,2912
ESP-La Liga,2122,Betis,8284,7309,2873
ESP-La Liga,2122,Celta Vigo,7982,7795,3366
ESP-La Liga,2122,Cádiz,5031,5054,3292
ESP-La Liga,2122,Elche,6572,6020,3129
ESP-La Liga,2122,Espanyol,6763,6281,2817
ESP-La Liga,2122,Getafe,5432,5095,3239
ESP-La Liga,2122,Granada,5400,5295,3218
ESP-La Liga,2122,Levante,6544,5929,2917
ESP-La Liga,2122,Mallorca,6054,5153,2691
ESP-La Liga,2122,Osasuna,6144,6063,3278
ESP-La Liga,2122,Rayo Vallecano,6408,6188,3277
ESP-La Liga,2122,Real Madrid,11395,8751,2902
ESP-La Liga,2122,Real Sociedad,7887,7429,2800
ESP-La Liga,2122,Sevilla,8529,8940,3745
ESP-La Liga,2122,Valencia,4782,4951,3098
ESP-La Liga,2122,Villarreal,8226,8098,2825
FRA-Ligue 1,2122,Angers,7006,7916,2880
FRA-Ligue 1,2122,Bordeaux,6654,6682,3091
FRA-Ligue 1,2122,Brest,6290,6166,3141
FRA-Ligue 1,2122,Clermont Foot,8643,6972,2806
FRA-Ligue 1,2122,Lens,8585,7930,2498
FRA-Ligue 1,2122,Lille,7842,6972,2862
FRA-Ligue 1,2122,Lorient,6469,6468,2876
FRA-Ligue 1,2122,Lyon,9961,9364,2835
FRA-Ligue 1,2122,Marseille,10744,9635,2900
FRA-Ligue 1,2122,Metz,6014,6079,2715
FRA-Ligue 1,2122,Monaco,8022,8418,3045
FRA-Ligue 1,2122,Montpellier,7133,6581,2917
FRA-Ligue 1,2122,Nantes,6257,6317,2976
FRA-Ligue 1,2122,Nice,8329,7834,2645
FRA-Ligue 1,2122,Paris S-G,12972,9854,2239
FRA-Ligue 1,2122,Reims,6061,6048,2767
FRA-Ligue 1,2122,Rennes,8030,8886,3332
FRA-Ligue 1,2122,Saint-Étienne,7086,6671,2972
FRA-Ligue 1,2122,Strasbourg,7060,7296,3259
FRA-Ligue 1,2122,Troyes,6920,6131,2726
GER-Bundesliga,2122,Arminia,4741,5157,2711
GER-Bundesliga,2122,Augsburg,4450,4935,2827
GER-Bundesliga,2122,Bayern Munich,10393,9518,2675
GER-Bundesliga,2122,Bochum,4391,5335,3414
GER-Bundesliga,2122,Dortmund,8996,8170,2454
GER-Bundesliga,2122,Eint Frankfurt,6380,6861,2783
GER-Bundesliga,2122,Freiburg,5855,5947,2875
GER-Bundesliga,2122,Greuther Fürth,5106,5407,2565
GER-Bundesliga,2122,Hertha BSC,5523,5105,2478
GER-Bundesliga,2122,Hoffenheim,7101,7189,2758
GER-Bundesliga,2122,Köln,5646,7240,3053
GER-Bundesliga,2122,Leverkusen,7325,7257,2580
GER-Bundesliga,2122,M'Gladbach,7592,7234,2401
GER-Bundesliga,2122,Mainz 05,5893,5557,2534
GER-Bundesliga,2122,RB Leipzig,8702,7384,2311
GER-Bundesliga,2122,Stuttgart,7015,6674,2611
GER-Bundesliga,2122,Union Berlin,5080,5871,2914
GER-Bundesliga,2122,Wolfsburg,5882,6785,2774
ITA-Serie A,2122,Atalanta,9367,7835,2760
ITA-Serie A,2122,Bologna,7925,6436,2702
ITA-Serie A,2122,Cagliari,5714,5957,3147
ITA-Serie A,2122,Empoli,6362,6695,2560
ITA-Serie A,2122,Fiorentina,7448,9133,3482
ITA-Serie A,2122,Genoa,6154,5630,2719
ITA-Serie A,2122,Hellas Verona,7199,6178,2728
ITA-Serie A,2122,Inter,8994,8750,3033
ITA-Serie A,2122,Juventus,7513,8335,3048
ITA-Serie A,2122,Lazio,10872,8150,2620
ITA-Serie A,2122,Milan,7777,7647,2874
ITA-Serie A,2122,Napoli,11215,7820,2509
ITA-Serie A,2122,Roma,7018,7898,3044
ITA-Serie A,2122,Salernitana,5744,5155,2552
ITA-Serie A,2122,Sampdoria,6565,6436,2904
ITA-Serie A,2122,Sassuolo,8959,7443,2681
ITA-Serie A,2122,Spezia,6112,5591,2833
ITA-Serie A,2122,Torino,7220,6933,2885
ITA-Serie A,2122,Udinese,6357,5570,2322
ITA-Serie A,2122,Venezia,5783,5800,2780
