,,,# Pl,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types, ,url
,,,,,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,
league,season,team,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2021,Arsenal,29,38,817,21.5,621,44,48,45,46,13,95,2.5,69,2,8,6,8,2,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
ENG-Premier League,2021,Aston Villa,24,38,935,24.61,655,90,63,47,58,22,93,2.45,65,8,4,6,9,1,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
ENG-Premier League,2021,Brighton,27,38,843,22.18,617,74,32,53,42,25,63,1.66,47,6,1,4,5,0,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
ENG-Premier League,2021,Burnley,25,38,671,17.66,467,69,28,36,51,20,51,1.34,31,6,4,3,5,2,/en/squads/943e8050/2020-2021/Burnley-Stats
ENG-Premier League,2021,Chelsea,27,38,1022,26.89,782,81,42,55,43,19,94,2.47,68,6,4,6,10,0,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
ENG-Premier League,2021,Crystal Palace,24,38,621,16.34,428,54,50,23,46,20,69,1.82,48,5,6,3,5,2,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
ENG-Premier League,2021,Everton,29,38,718,18.89,512,67,33,43,46,17,81,2.13,54,9,2,10,5,1,/en/squads/d3fd31cc/2020-2021/Everton-Stats
ENG-Premier League,2021,Fulham,28,38,786,20.68,568,65,52,35,47,19,47,1.24,32,2,4,3,4,2,/en/squads/fd962109/2020-2021/Fulham-Stats
ENG-Premier League,2021,Leeds United,23,38,930,24.47,692,72,45,62,31,28,108,2.84,80,6,8,8,5,1,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
ENG-Premier League,2021,Leicester City,27,38,861,22.66,625,49,56,46,54,31,113,2.97,84,3,8,4,10,4,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
ENG-Premier League,2021,Liverpool,28,38,1051,27.66,799,67,56,61,46,22,107,2.82,74,6,4,14,6,3,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
ENG-Premier League,2021,Manchester City,24,38,1053,27.71,783,61,86,57,43,23,141,3.71,99,3,16,13,6,4,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
ENG-Premier League,2021,Manchester Utd,29,38,949,24.97,712,73,45,57,46,16,127,3.34,94,5,8,9,9,2,/en/squads/19538871/2020-2021/Manchester-United-Stats
ENG-Premier League,2021,Newcastle Utd,27,38,699,18.39,448,84,50,35,56,26,75,1.97,46,7,6,7,7,2,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
ENG-Premier League,2021,Sheffield Utd,27,38,570,15,428,47,26,27,23,19,30,0.79,16,3,2,3,3,3,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
ENG-Premier League,2021,Southampton,29,38,729,19.18,505,63,41,47,51,22,83,2.18,48,8,6,7,11,3,/en/squads/33c895d4/2020-2021/Southampton-Stats
ENG-Premier League,2021,Tottenham,24,38,792,20.84,542,54,56,49,56,35,123,3.24,86,6,13,8,6,4,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
ENG-Premier League,2021,West Brom,30,38,576,15.16,399,60,26,27,38,26,57,1.5,40,3,1,3,5,5,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
