,,,Touches,Dribbles,Dribbles,Touches,Receiving
,,,,,,,
league,season,team,Att 3rd.T,Succ.Drib,Att.Drib,Touches,Prog.T
ENG-Premier League,2122,Arsenal,6399,319,590,23628,1058
ENG-Premier League,2122,Aston Villa,4983,333,587,20474,916
ENG-Premier League,2122,Brentford,4515,262,476,20340,869
ENG-Premier League,2122,Brighton,6401,317,559,24673,1043
ENG-Premier League,2122,Burnley,4639,258,479,18247,708
ENG-Premier League,2122,Chelsea,7764,364,624,28767,1314
ENG-Premier League,2122,Crystal Palace,4869,383,688,23280,888
ENG-Premier League,2122,Everton,4932,337,634,18937,784
ENG-Premier League,2122,Leeds United,4843,339,655,22561,1077
ENG-Premier League,2122,Leicester City,4872,297,547,24205,981
ENG-Premier League,2122,Liverpool,8305,343,635,29388,1625
ENG-Premier League,2122,Manchester City,9623,425,741,31218,1554
ENG-Premier League,2122,Manchester Utd,6260,368,631,24490,1101
ENG-Premier League,2122,Newcastle Utd,4275,359,632,18158,620
ENG-Premier League,2122,Norwich City,4111,298,581,20103,754
ENG-Premier League,2122,Southampton,5664,350,624,21301,941
ENG-Premier League,2122,Tottenham,5558,375,667,24701,1092
ENG-Premier League,2122,Watford,4271,395,751,19034,754
ENG-Premier League,2122,West Ham,5451,306,545,22179,914
ENG-Premier League,2122,Wolves,4835,450,771,23184,877
ESP-La Liga,2122,Alavés,4183,271,504,18237,683
ESP-La Liga,2122,Athletic Club,5675,297,530,21164,1120
ESP-La Liga,2122,Atlético Madrid,5624,383,600,22888,1029
ESP-La Liga,2122,Barcelona,7478,474,747,28599,1383
ESP-La Liga,2122,Betis,5517,372,655,23522,1064
ESP-La Liga,2122,Celta Vigo,5653,346,591,24629,997
ESP-La Liga,2122,Cádiz,4322,281,519,18480,715
ESP-La Liga,2122,Elche,4239,339,597,20709,743
ESP-La Liga,2122,Espanyol,4413,373,616,20860,800
ESP-La Liga,2122,Getafe,4066,242,452,18524,657
ESP-La Liga,2122,Granada,4213,270,495,18945,753
ESP-La Liga,2122,Levante,4443,348,683,20350,942
ESP-La Liga,2122,Mallorca,4545,368,612,19186,795
ESP-La Liga,2122,Osasuna,5333,261,467,20431,926
ESP-La Liga,2122,Rayo Vallecano,5174,357,639,21141,932
